model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C3,MISSING,0.175,0.825,,0.20125,0.326
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C3,SUPPORTED,,,,0.257,0.257
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C0,AMBIGUOUS,0.11,0.89,,0.26,0.386
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C0,CONTRADICTORY,0.12,0.88,,0.03875,0.207
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C0,DISTRACTOR,,,0.005,0.345,0.34
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C0,MISSING,0.055,0.945,,0.2025,0.351
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C0,SUPPORTED,,,,0.297,0.297
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C3,AMBIGUOUS,0.005,0.995,,0.23875,0.39
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C3,CONTRADICTORY,0.0,1.0,,0.01875,0.215
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C3,DISTRACTOR,,,0.0,0.055,0.055
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C3,MISSING,0.0,1.0,,0.29,0.432
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C3,SUPPORTED,,,,0.213,0.213
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C0,AMBIGUOUS,0.09,0.91,,0.23,0.366
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C0,CONTRADICTORY,0.12,0.88,,0.03375,0.203
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C0,DISTRACTOR,,,0.015,0.3575,0.349
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C0,MISSING,0.08,0.92,,0.2,0.344
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C0,SUPPORTED,,,,0.294,0.294
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C3,AMBIGUOUS,0.0,1.0,,0.25,0.4
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C3,CONTRADICTORY,0.0,1.0,,0.0375,0.23
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C3,DISTRACTOR,,,0.005,0.09,0.089
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C3,MISSING,0.0,1.0,,0.28875,0.431
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,C3,SUPPORTED,,,,0.237,0.237
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C0,AMBIGUOUS,0.1,0.9,,0.2275,0.362
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C0,CONTRADICTORY,0.11,0.89,,0.035,0.206
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C0,DISTRACTOR,,,0.02,0.38375,0.375
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C0,MISSING,0.055,0.945,,0.20875,0.356
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C0,SUPPORTED,,,,0.289,0.289
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C3,AMBIGUOUS,0.0,1.0,,0.27875,0.423
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C3,CONTRADICTORY,0.0,1.0,,0.0275,0.222
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C3,DISTRACTOR,,,0.0,0.0625,0.063
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C3,MISSING,0.0,1.0,,0.265,0.412
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,C3,SUPPORTED,,,,0.233,0.233
