model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
Qwen/Qwen3-0.6B@int8,C1,AMBIGUOUS,0.935,0.065,,0.98875,0.804
Qwen/Qwen3-0.6B@int8,C1,CONTRADICTORY,1.0,0.0,,0.99375,0.795
Qwen/Qwen3-0.6B@int8,C1,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B@int8,C1,MISSING,0.245,0.755,,0.9925,0.945
Qwen/Qwen3-0.6B@int8,C1,SUPPORTED,,,,0.982,0.982
Qwen/Qwen3-0.6B@int8,C2,AMBIGUOUS,0.885,0.115,,0.99125,0.816
Qwen/Qwen3-0.6B@int8,C2,CONTRADICTORY,1.0,0.0,,0.9975,0.798
Qwen/Qwen3-0.6B@int8,C2,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B@int8,C2,MISSING,0.25,0.75,,0.9975,0.948
Qwen/Qwen3-0.6B@int8,C2,SUPPORTED,,,,0.998,0.998
Qwen/Qwen3-0.6B@int8,C3,AMBIGUOUS,0.225,0.775,,0.81125,0.804
Qwen/Qwen3-0.6B@int8,C3,CONTRADICTORY,0.01,0.99,,0.6925,0.752
Qwen/Qwen3-0.6B@int8,C3,DISTRACTOR,,,0.0,0.79,0.809
Qwen/Qwen3-0.6B@int8,C3,MISSING,0.0,1.0,,0.8425,0.874
Qwen/Qwen3-0.6B@int8,C3,SUPPORTED,,,,0.869,0.869
Qwen/Qwen3-0.6B@int8,C4,AMBIGUOUS,0.625,0.375,,0.92,0.811
Qwen/Qwen3-0.6B@int8,C4,CONTRADICTORY,0.73,0.27,,0.8175,0.708
Qwen/Qwen3-0.6B@int8,C4,DISTRACTOR,,,0.0,0.92375,0.919
Qwen/Qwen3-0.6B@int8,C4,MISSING,0.265,0.735,,0.94625,0.904
Qwen/Qwen3-0.6B@int8,C4,SUPPORTED,,,,0.974,0.974
Qwen/Qwen3.5-0.8B,C0,AMBIGUOUS,0.255,0.745,,0.98,0.933
Qwen/Qwen3.5-0.8B,C0,CONTRADICTORY,0.605,0.395,,0.9725,0.857
Qwen/Qwen3.5-0.8B,C0,DISTRACTOR,,,0.0,0.9925,0.991
Qwen/Qwen3.5-0.8B,C0,MISSING,0.0,1.0,,0.9425,0.954
Qwen/Qwen3.5-0.8B,C0,SUPPORTED,,,,0.973,0.973
Qwen/Qwen3.5-0.8B,C1,AMBIGUOUS,1.0,0.0,,0.99375,0.795
Qwen/Qwen3.5-0.8B,C1,CONTRADICTORY,1.0,0.0,,1.0,0.8
Qwen/Qwen3.5-0.8B,C1,DISTRACTOR,,,0.0,1.0,0.999
Qwen/Qwen3.5-0.8B,C1,MISSING,0.065,0.935,,0.98125,0.972
Qwen/Qwen3.5-0.8B,C1,SUPPORTED,,,,0.974,0.974
Qwen/Qwen3.5-0.8B,C2,AMBIGUOUS,1.0,0.0,,0.995,0.796
Qwen/Qwen3.5-0.8B,C2,CONTRADICTORY,1.0,0.0,,1.0,0.8
Qwen/Qwen3.5-0.8B,C2,DISTRACTOR,,,0.0,1.0,0.999
Qwen/Qwen3.5-0.8B,C2,MISSING,0.125,0.875,,0.9825,0.961
Qwen/Qwen3.5-0.8B,C2,SUPPORTED,,,,0.977,0.977
Qwen/Qwen3.5-0.8B,C3,AMBIGUOUS,0.32,0.68,,0.9875,0.926
Qwen/Qwen3.5-0.8B,C3,CONTRADICTORY,1.0,0.0,,1.0,0.8
Qwen/Qwen3.5-0.8B,C3,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3.5-0.8B,C3,MISSING,0.0,1.0,,0.94,0.952
Qwen/Qwen3.5-0.8B,C3,SUPPORTED,,,,0.964,0.964
Qwen/Qwen3.5-0.8B,C4,AMBIGUOUS,0.255,0.745,,1.0,0.949
Qwen/Qwen3.5-0.8B,C4,CONTRADICTORY,0.73,0.27,,1.0,0.854
Qwen/Qwen3.5-0.8B,C4,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3.5-0.8B,C4,MISSING,0.0,1.0,,0.995,0.996
Qwen/Qwen3.5-0.8B,C4,SUPPORTED,,,,1.0,1.0
google/functiongemma-270m-it,C0,AMBIGUOUS,0.475,0.525,,0.63875,0.616
google/functiongemma-270m-it,C0,CONTRADICTORY,0.97,0.03,,0.88625,0.715
google/functiongemma-270m-it,C0,DISTRACTOR,,,0.05,0.94625,0.937
google/functiongemma-270m-it,C0,MISSING,0.15,0.85,,0.9525,0.932
google/functiongemma-270m-it,C0,SUPPORTED,,,,0.963,0.963
google/functiongemma-270m-it,C1,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C1,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C1,DISTRACTOR,,,0.0,0.005,0.005
google/functiongemma-270m-it,C1,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C1,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it,C2,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C2,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C2,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it,C2,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C2,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C3,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it,C3,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it,C3,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it,C4,AMBIGUOUS,0.07,0.93,,0.0825,0.252
google/functiongemma-270m-it,C4,CONTRADICTORY,0.215,0.785,,0.2575,0.363
google/functiongemma-270m-it,C4,DISTRACTOR,,,0.0,0.15375,0.158
google/functiongemma-270m-it,C4,MISSING,0.01,0.99,,0.01875,0.213
google/functiongemma-270m-it,C4,SUPPORTED,,,,0.021,0.021
google/functiongemma-270m-it,C5,AMBIGUOUS,1.0,0.0,,0.96,0.768
google/functiongemma-270m-it,C5,CONTRADICTORY,1.0,0.0,,0.92875,0.743
google/functiongemma-270m-it,C5,DISTRACTOR,,,0.0,0.97125,0.963
google/functiongemma-270m-it,C5,MISSING,0.155,0.845,,0.91875,0.904
google/functiongemma-270m-it,C5,SUPPORTED,,,,0.909,0.909
google/functiongemma-270m-it@int4,C0,AMBIGUOUS,0.615,0.385,,0.69625,0.634
google/functiongemma-270m-it@int4,C0,CONTRADICTORY,0.935,0.065,,0.7875,0.643
google/functiongemma-270m-it@int4,C0,DISTRACTOR,,,0.18,0.7325,0.677
google/functiongemma-270m-it@int4,C0,MISSING,0.34,0.66,,0.66875,0.667
google/functiongemma-270m-it@int4,C0,SUPPORTED,,,,0.568,0.568
google/functiongemma-270m-it@int4,C1,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C1,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C1,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@int4,C1,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C1,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@int4,C2,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C2,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C2,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@int4,C2,MISSING,0.005,0.995,,0.00375,0.202
google/functiongemma-270m-it@int4,C2,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@int4,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C3,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@int4,C3,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int4,C3,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@int4,C4,AMBIGUOUS,0.325,0.675,,0.43125,0.48
google/functiongemma-270m-it@int4,C4,CONTRADICTORY,0.185,0.815,,0.145,0.279
google/functiongemma-270m-it@int4,C4,DISTRACTOR,,,0.0,0.1325,0.133
google/functiongemma-270m-it@int4,C4,MISSING,0.43,0.57,,0.54625,0.551
google/functiongemma-270m-it@int4,C4,SUPPORTED,,,,0.629,0.629
google/functiongemma-270m-it@int8,C0,AMBIGUOUS,0.655,0.345,,0.8225,0.727
google/functiongemma-270m-it@int8,C0,CONTRADICTORY,0.94,0.06,,0.89375,0.727
google/functiongemma-270m-it@int8,C0,DISTRACTOR,,,0.035,0.93375,0.929
google/functiongemma-270m-it@int8,C0,MISSING,0.18,0.82,,0.8925,0.878
google/functiongemma-270m-it@int8,C0,SUPPORTED,,,,0.945,0.945
google/functiongemma-270m-it@int8,C1,AMBIGUOUS,0.005,0.995,,0.005,0.203
google/functiongemma-270m-it@int8,C1,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C1,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@int8,C1,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C1,SUPPORTED,,,,0.019,0.019
google/functiongemma-270m-it@int8,C2,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C2,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C2,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@int8,C2,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C2,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@int8,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C3,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@int8,C3,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@int8,C3,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@int8,C4,AMBIGUOUS,0.295,0.705,,0.2875,0.371
google/functiongemma-270m-it@int8,C4,CONTRADICTORY,0.37,0.63,,0.42375,0.465
google/functiongemma-270m-it@int8,C4,DISTRACTOR,,,0.01,0.3775,0.381
google/functiongemma-270m-it@int8,C4,MISSING,0.225,0.775,,0.275,0.375
google/functiongemma-270m-it@int8,C4,SUPPORTED,,,,0.223,0.223
ibm-granite/granite-4.0-350m,C0,AMBIGUOUS,0.625,0.375,,0.95625,0.84
ibm-granite/granite-4.0-350m,C0,CONTRADICTORY,0.99,0.01,,0.97875,0.785
ibm-granite/granite-4.0-350m,C0,DISTRACTOR,,,0.0,0.98875,0.987
ibm-granite/granite-4.0-350m,C0,MISSING,0.245,0.755,,0.98875,0.942
ibm-granite/granite-4.0-350m,C0,SUPPORTED,,,,0.856,0.856
ibm-granite/granite-4.0-350m,C1,AMBIGUOUS,0.92,0.08,,0.99625,0.813
ibm-granite/granite-4.0-350m,C1,CONTRADICTORY,0.855,0.145,,0.84875,0.708
ibm-granite/granite-4.0-350m,C1,DISTRACTOR,,,0.0,0.99,0.99
ibm-granite/granite-4.0-350m,C1,MISSING,0.49,0.51,,0.73125,0.687
ibm-granite/granite-4.0-350m,C1,SUPPORTED,,,,0.984,0.984
ibm-granite/granite-4.0-350m,C2,AMBIGUOUS,0.995,0.005,,0.99875,0.8
ibm-granite/granite-4.0-350m,C2,CONTRADICTORY,1.0,0.0,,0.9975,0.798
ibm-granite/granite-4.0-350m,C2,DISTRACTOR,,,0.0,0.995,0.995
ibm-granite/granite-4.0-350m,C2,MISSING,0.44,0.56,,0.805,0.756
ibm-granite/granite-4.0-350m,C2,SUPPORTED,,,,0.992,0.992
ibm-granite/granite-4.0-350m,C3,AMBIGUOUS,0.725,0.275,,1.0,0.855
ibm-granite/granite-4.0-350m,C3,CONTRADICTORY,0.68,0.32,,0.995,0.86
ibm-granite/granite-4.0-350m,C3,DISTRACTOR,,,0.0,0.9975,0.997
ibm-granite/granite-4.0-350m,C3,MISSING,0.03,0.97,,1.0,0.994
ibm-granite/granite-4.0-350m,C3,SUPPORTED,,,,0.997,0.997
ibm-granite/granite-4.0-350m,C4,AMBIGUOUS,0.605,0.395,,0.92125,0.816
ibm-granite/granite-4.0-350m,C4,CONTRADICTORY,0.73,0.27,,0.93,0.798
ibm-granite/granite-4.0-350m,C4,DISTRACTOR,,,0.0,0.99875,0.997
ibm-granite/granite-4.0-350m,C4,MISSING,0.215,0.785,,0.9375,0.907
ibm-granite/granite-4.0-350m,C4,SUPPORTED,,,,0.961,0.961
ibm-granite/granite-4.0-350m,C5,AMBIGUOUS,0.725,0.275,,1.0,0.855
ibm-granite/granite-4.0-350m,C5,CONTRADICTORY,0.685,0.315,,1.0,0.863
ibm-granite/granite-4.0-350m,C5,DISTRACTOR,,,0.0,0.9975,0.997
ibm-granite/granite-4.0-350m,C5,MISSING,0.03,0.97,,1.0,0.994
ibm-granite/granite-4.0-350m,C5,SUPPORTED,,,,0.997,0.997
ibm-granite/granite-4.0-h-350m,C0,AMBIGUOUS,0.585,0.415,,0.995,0.879
ibm-granite/granite-4.0-h-350m,C0,CONTRADICTORY,0.51,0.49,,0.98875,0.889
ibm-granite/granite-4.0-h-350m,C0,DISTRACTOR,,,0.0,1.0,0.999
ibm-granite/granite-4.0-h-350m,C0,MISSING,0.075,0.925,,0.9925,0.979
ibm-granite/granite-4.0-h-350m,C0,SUPPORTED,,,,0.993,0.993
ibm-granite/granite-4.0-h-350m,C1,AMBIGUOUS,0.9,0.1,,0.9975,0.818
ibm-granite/granite-4.0-h-350m,C1,CONTRADICTORY,0.82,0.18,,1.0,0.836
ibm-granite/granite-4.0-h-350m,C1,DISTRACTOR,,,0.01,1.0,0.998
ibm-granite/granite-4.0-h-350m,C1,MISSING,0.0,1.0,,0.9825,0.986
ibm-granite/granite-4.0-h-350m,C1,SUPPORTED,,,,0.994,0.994
ibm-granite/granite-4.0-h-350m,C2,AMBIGUOUS,0.98,0.02,,0.9975,0.802
ibm-granite/granite-4.0-h-350m,C2,CONTRADICTORY,0.955,0.045,,1.0,0.809
ibm-granite/granite-4.0-h-350m,C2,DISTRACTOR,,,0.005,1.0,0.999
ibm-granite/granite-4.0-h-350m,C2,MISSING,0.0,1.0,,0.98125,0.985
ibm-granite/granite-4.0-h-350m,C2,SUPPORTED,,,,0.765,0.765
ibm-granite/granite-4.0-h-350m,C3,AMBIGUOUS,0.66,0.34,,0.90375,0.791
ibm-granite/granite-4.0-h-350m,C3,CONTRADICTORY,0.485,0.515,,0.93,0.847
ibm-granite/granite-4.0-h-350m,C3,DISTRACTOR,,,0.005,0.97375,0.975
ibm-granite/granite-4.0-h-350m,C3,MISSING,0.0,1.0,,0.92125,0.937
ibm-granite/granite-4.0-h-350m,C3,SUPPORTED,,,,0.989,0.989
ibm-granite/granite-4.0-h-350m,C4,AMBIGUOUS,0.38,0.62,,0.94,0.876
ibm-granite/granite-4.0-h-350m,C4,CONTRADICTORY,0.735,0.265,,0.97375,0.832
ibm-granite/granite-4.0-h-350m,C4,DISTRACTOR,,,0.005,1.0,0.999
ibm-granite/granite-4.0-h-350m,C4,MISSING,0.225,0.775,,0.965,0.927
ibm-granite/granite-4.0-h-350m,C4,SUPPORTED,,,,0.966,0.966
ibm-granite/granite-4.0-h-350m,C5,AMBIGUOUS,0.43,0.57,,0.835,0.782
ibm-granite/granite-4.0-h-350m,C5,CONTRADICTORY,0.46,0.54,,0.80125,0.749
ibm-granite/granite-4.0-h-350m,C5,DISTRACTOR,,,0.0,0.81125,0.804
ibm-granite/granite-4.0-h-350m,C5,MISSING,0.0,1.0,,0.835,0.868
ibm-granite/granite-4.0-h-350m,C5,SUPPORTED,,,,0.895,0.895
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C0,AMBIGUOUS,0.91,0.09,,0.7425,0.612
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C0,CONTRADICTORY,0.915,0.085,,0.8575,0.703
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C0,DISTRACTOR,,,0.01,0.7375,0.725
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C0,MISSING,0.8,0.2,,0.72375,0.619
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C0,SUPPORTED,,,,0.404,0.404
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C1,AMBIGUOUS,0.875,0.125,,0.7775,0.647
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C1,CONTRADICTORY,1.0,0.0,,0.8875,0.71
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C1,DISTRACTOR,,,0.005,0.82,0.803
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C1,MISSING,0.565,0.435,,0.795,0.723
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C1,SUPPORTED,,,,0.797,0.797
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C2,AMBIGUOUS,0.39,0.61,,0.2475,0.32
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C2,CONTRADICTORY,0.475,0.525,,0.40125,0.426
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C2,DISTRACTOR,,,0.0,0.3525,0.366
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C2,MISSING,0.185,0.815,,0.2325,0.349
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C2,SUPPORTED,,,,0.387,0.387
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C3,AMBIGUOUS,0.235,0.765,,0.36,0.441
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C3,CONTRADICTORY,0.19,0.81,,0.15625,0.287
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C3,DISTRACTOR,,,0.01,0.31625,0.316
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C3,MISSING,0.19,0.81,,0.21,0.33
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C3,SUPPORTED,,,,0.264,0.264
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C4,AMBIGUOUS,0.05,0.95,,0.045,0.226
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C4,CONTRADICTORY,0.13,0.87,,0.18375,0.321
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C4,DISTRACTOR,,,0.0,0.035,0.035
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C4,MISSING,0.035,0.965,,0.05125,0.234
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C4,SUPPORTED,,,,0.022,0.022
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C5,AMBIGUOUS,0.335,0.665,,0.42,0.469
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C5,CONTRADICTORY,0.65,0.35,,0.51125,0.479
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C5,DISTRACTOR,,,0.01,0.41625,0.42
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C5,MISSING,0.32,0.68,,0.34,0.408
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C5,SUPPORTED,,,,0.289,0.289
tiiuae/Falcon-H1-Tiny-R-0.6B,C0,AMBIGUOUS,0.075,0.925,,0.2775,0.407
tiiuae/Falcon-H1-Tiny-R-0.6B,C0,CONTRADICTORY,0.065,0.935,,0.03125,0.212
tiiuae/Falcon-H1-Tiny-R-0.6B,C0,DISTRACTOR,,,0.02,0.41875,0.411
tiiuae/Falcon-H1-Tiny-R-0.6B,C0,MISSING,0.07,0.93,,0.2075,0.352
tiiuae/Falcon-H1-Tiny-R-0.6B,C0,SUPPORTED,,,,0.375,0.375
tiiuae/Falcon-H1-Tiny-R-0.6B,C1,AMBIGUOUS,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B,C1,CONTRADICTORY,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B,C1,DISTRACTOR,,,0.0,0.04375,0.044
tiiuae/Falcon-H1-Tiny-R-0.6B,C1,MISSING,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B,C1,SUPPORTED,,,,0.052,0.052
tiiuae/Falcon-H1-Tiny-R-0.6B,C2,AMBIGUOUS,0.06,0.94,,0.065,0.24
tiiuae/Falcon-H1-Tiny-R-0.6B,C2,CONTRADICTORY,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B,C2,DISTRACTOR,,,0.0,0.1075,0.108
tiiuae/Falcon-H1-Tiny-R-0.6B,C2,MISSING,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B,C2,SUPPORTED,,,,0.34,0.34
tiiuae/Falcon-H1-Tiny-R-0.6B,C3,AMBIGUOUS,0.005,0.995,,0.26125,0.408
tiiuae/Falcon-H1-Tiny-R-0.6B,C3,CONTRADICTORY,0.0,1.0,,0.0275,0.222
tiiuae/Falcon-H1-Tiny-R-0.6B,C3,DISTRACTOR,,,0.0,0.09875,0.1
tiiuae/Falcon-H1-Tiny-R-0.6B,C3,MISSING,0.0,1.0,,0.34875,0.479
tiiuae/Falcon-H1-Tiny-R-0.6B,C3,SUPPORTED,,,,0.29,0.29
tiiuae/Falcon-H1-Tiny-R-0.6B,C4,AMBIGUOUS,0.0,1.0,,0.1625,0.33
tiiuae/Falcon-H1-Tiny-R-0.6B,C4,CONTRADICTORY,0.01,0.99,,0.00875,0.205
tiiuae/Falcon-H1-Tiny-R-0.6B,C4,DISTRACTOR,,,0.0,0.04,0.04
tiiuae/Falcon-H1-Tiny-R-0.6B,C4,MISSING,0.0,1.0,,0.1925,0.354
tiiuae/Falcon-H1-Tiny-R-0.6B,C4,SUPPORTED,,,,0.407,0.407
tiiuae/Falcon-H1-Tiny-R-0.6B,C5,AMBIGUOUS,0.145,0.855,,0.685,0.719
tiiuae/Falcon-H1-Tiny-R-0.6B,C5,CONTRADICTORY,0.105,0.895,,0.76875,0.794
tiiuae/Falcon-H1-Tiny-R-0.6B,C5,DISTRACTOR,,,0.065,0.91125,0.894
tiiuae/Falcon-H1-Tiny-R-0.6B,C5,MISSING,0.0,1.0,,0.57875,0.663
tiiuae/Falcon-H1-Tiny-R-0.6B,C5,SUPPORTED,,,,0.637,0.637
